id;start_date;end_date;language
1;2019-05-08T02:16:17;2019-05-07T19:24:34;FRENCH
2;2019-05-08T03:46:22;2019-05-07T12:52:32;FRENCH
3;2019-05-07T23:18:27;2019-05-07T14:42:27;FRENCH
4;2019-05-07T12:30:18;2019-05-07T19:57:20;FRENCH
5;2019-05-07T21:28:57;2019-05-08T02:13:06;FRENCH
6;2019-05-08T03:45:58;2019-05-08T05:02:54;FRENCH
7;2019-05-07T13:08:18;2019-05-08T01:49:04;FRENCH
8;2019-05-07T10:39:36;2019-05-07T18:39:45;FRENCH
9;2019-05-07T20:27:42;2019-05-08T04:52:21;FRENCH
10;2019-05-07T23:45:52;2019-05-07T21:02:07;FRENCH
